Program;Threads;Test;Temps
Philosof;1;1;0.02
Philosof;1;2;0.02
Philosof;1;3;0.02
Philosof;1;4;0.02
Philosof;1;5;0.02
Philosof;2;1;0.09
Philosof;2;2;0.11
Philosof;2;3;0.09
Philosof;2;4;0.12
Philosof;2;5;0.09
Philosof;4;1;0.32
Philosof;4;2;0.26
Philosof;4;3;0.27
Philosof;4;4;0.32
Philosof;4;5;0.29
Philosof;8;1;0.32
Philosof;8;2;0.34
Philosof;8;3;0.33
Philosof;8;4;0.35
Philosof;8;5;0.31
Philosof;16;1;0.48
Philosof;16;2;0.49
Philosof;16;3;0.44
Philosof;16;4;0.46
Philosof;16;5;0.45
Philosof;32;1;0.82
Philosof;32;2;0.79
Philosof;32;3;0.78
Philosof;32;4;0.80
Philosof;32;5;0.83
Philosof;64;1;1.59
Philosof;64;2;1.51
Philosof;64;3;1.47
Philosof;64;4;1.49
Philosof;64;5;1.48
Producer_Consumer;1;1;0.58
Producer_Consumer;1;2;0.43
Producer_Consumer;1;3;0.40
Producer_Consumer;1;4;0.51
Producer_Consumer;1;5;0.50
Producer_Consumer;2;1;0.21
Producer_Consumer;2;2;0.21
Producer_Consumer;2;3;0.29
Producer_Consumer;2;4;0.24
Producer_Consumer;2;5;0.23
Producer_Consumer;4;1;0.14
Producer_Consumer;4;2;0.13
Producer_Consumer;4;3;0.14
Producer_Consumer;4;4;0.14
Producer_Consumer;4;5;0.14
Producer_Consumer;8;1;0.07
Producer_Consumer;8;2;0.07
Producer_Consumer;8;3;0.08
Producer_Consumer;8;4;0.07
Producer_Consumer;8;5;0.07
Producer_Consumer;16;1;0.05
Producer_Consumer;16;2;0.05
Producer_Consumer;16;3;0.05
Producer_Consumer;16;4;0.05
Producer_Consumer;16;5;0.06
Producer_Consumer;32;1;0.06
Producer_Consumer;32;2;0.06
Producer_Consumer;32;3;0.07
Producer_Consumer;32;4;0.06
Producer_Consumer;32;5;0.06
Producer_Consumer;64;1;0.06
Producer_Consumer;64;2;0.06
Producer_Consumer;64;3;0.06
Producer_Consumer;64;4;0.06
Producer_Consumer;64;5;0.06
WriterReader;1;1;0.22
WriterReader;1;2;0.22
WriterReader;1;3;0.23
WriterReader;1;4;0.23
WriterReader;1;5;0.22
WriterReader;2;1;0.23
WriterReader;2;2;0.23
WriterReader;2;3;0.23
WriterReader;2;4;0.23
WriterReader;2;5;0.23
WriterReader;4;1;0.23
WriterReader;4;2;0.23
WriterReader;4;3;0.23
WriterReader;4;4;0.23
WriterReader;4;5;0.23
WriterReader;8;1;0.23
WriterReader;8;2;0.23
WriterReader;8;3;0.23
WriterReader;8;4;0.23
WriterReader;8;5;0.23
WriterReader;16;1;0.23
WriterReader;16;2;0.23
WriterReader;16;3;0.23
WriterReader;16;4;0.23
WriterReader;16;5;0.23
WriterReader;32;1;0.23
WriterReader;32;2;0.23
WriterReader;32;3;0.23
WriterReader;32;4;0.23
WriterReader;32;5;0.23
WriterReader;64;1;0.23
WriterReader;64;2;0.24
WriterReader;64;3;0.24
WriterReader;64;4;0.24
WriterReader;64;5;0.24
Test-and-set;1;1;0.32
Test-and-set;1;2;0.18
Test-and-set;1;3;0.31
Test-and-set;1;4;0.42
Test-and-set;1;5;0.18
Test-and-set;2;1;0.30
Test-and-set;2;2;0.33
Test-and-set;2;3;0.41
Test-and-set;2;4;0.26
Test-and-set;2;5;0.30
Test-and-set;4;1;0.41
Test-and-set;4;2;0.37
Test-and-set;4;3;0.38
Test-and-set;4;4;0.38
Test-and-set;4;5;0.37
Test-and-set;8;1;0.39
Test-and-set;8;2;0.37
Test-and-set;8;3;0.33
Test-and-set;8;4;0.33
Test-and-set;8;5;0.35
Test-and-set;16;1;0.39
Test-and-set;16;2;0.29
Test-and-set;16;3;0.37
Test-and-set;16;4;0.32
Test-and-set;16;5;0.29
Test-and-set;32;1;0.41
Test-and-set;32;2;0.29
Test-and-set;32;3;0.26
Test-and-set;32;4;0.31
Test-and-set;32;5;0.27
Test-and-set;64;1;0.40
Test-and-set;64;2;0.28
Test-and-set;64;3;0.26
Test-and-set;64;4;0.33
Test-and-set;64;5;0.37
