Program;Threads;Test;Temps
WriterReader_AC;1;1;0.17
WriterReader_AC;1;2;0.17
WriterReader_AC;1;3;0.17
WriterReader_AC;1;4;0.17
WriterReader_AC;1;5;0.17
WriterReader_AC;2;1;0.21
WriterReader_AC;2;2;0.22
WriterReader_AC;2;3;0.22
WriterReader_AC;2;4;0.21
WriterReader_AC;2;5;0.22
WriterReader_AC;4;1;0.25
WriterReader_AC;4;2;0.22
WriterReader_AC;4;3;0.16
WriterReader_AC;4;4;0.14
WriterReader_AC;4;5;0.13
WriterReader_AC;8;1;0.24
WriterReader_AC;8;2;0.18
WriterReader_AC;8;3;0.22
WriterReader_AC;8;4;0.17
WriterReader_AC;8;5;0.13
WriterReader_AC;16;1;0.27
WriterReader_AC;16;2;0.23
WriterReader_AC;16;3;0.18
WriterReader_AC;16;4;0.19
WriterReader_AC;16;5;0.20
WriterReader_AC;32;1;0.72
WriterReader_AC;32;2;0.83
WriterReader_AC;32;3;0.54
WriterReader_AC;32;4;0.73
WriterReader_AC;32;5;0.56
WriterReader_AC;64;1;1.59
WriterReader_AC;64;2;2.29
WriterReader_AC;64;3;2.39
WriterReader_AC;64;4;2.79
WriterReader_AC;64;5;2.86
