Program;Threads;Test;Temps
Philosof;1;1;0.00
Philosof;1;2;0.00
Philosof;1;3;0.00
Philosof;1;4;0.00
Philosof;1;5;0.00
Philosof;2;1;0.01
Philosof;2;2;0.01
Philosof;2;3;0.01
Philosof;2;4;0.02
Philosof;2;5;0.02
Philosof;4;1;0.03
Philosof;4;2;0.03
Philosof;4;3;0.03
Philosof;4;4;0.03
Philosof;4;5;0.03
Philosof;8;1;0.04
Philosof;8;2;0.04
Philosof;8;3;0.04
Philosof;8;4;0.04
Philosof;8;5;0.03
Philosof;16;1;0.03
Philosof;16;2;0.03
Philosof;16;3;0.04
Philosof;16;4;0.05
Philosof;16;5;0.04
Philosof;32;1;0.04
Philosof;32;2;0.04
Philosof;32;3;0.04
Philosof;32;4;0.05
Philosof;32;5;0.05
Philosof;64;1;0.06
Philosof;64;2;0.06
Philosof;64;3;0.06
Philosof;64;4;0.05
Philosof;64;5;0.05
Philosof_AC;1;1;0.00
Philosof_AC;1;2;0.00
Philosof_AC;1;3;0.00
Philosof_AC;1;4;0.00
Philosof_AC;1;5;0.00
Philosof_AC;2;1;0.02
Philosof_AC;2;2;0.02
Philosof_AC;2;3;0.01
Philosof_AC;2;4;0.02
Philosof_AC;2;5;0.02
Philosof_AC;4;1;0.06
Philosof_AC;4;2;0.04
Philosof_AC;4;3;0.05
Philosof_AC;4;4;0.04
Philosof_AC;4;5;0.06
Philosof_AC;8;1;0.21
Philosof_AC;8;2;0.21
Philosof_AC;8;3;0.20
Philosof_AC;8;4;0.19
Philosof_AC;8;5;0.19
Philosof_AC;16;1;0.24
Philosof_AC;16;2;0.18
Philosof_AC;16;3;0.28
Philosof_AC;16;4;0.24
Philosof_AC;16;5;0.37
Philosof_AC;32;1;0.36
Philosof_AC;32;2;0.85
Philosof_AC;32;3;0.47
Philosof_AC;32;4;0.49
Philosof_AC;32;5;1.05
Philosof_AC;64;1;0.44
Philosof_AC;64;2;0.27
Philosof_AC;64;3;0.42
Philosof_AC;64;4;0.70
Philosof_AC;64;5;0.74
Producer_Consumer;1;1;0.17
Producer_Consumer;1;2;0.18
Producer_Consumer;1;3;0.18
Producer_Consumer;1;4;0.17
Producer_Consumer;1;5;0.19
Producer_Consumer;2;1;0.11
Producer_Consumer;2;2;0.10
Producer_Consumer;2;3;0.10
Producer_Consumer;2;4;0.09
Producer_Consumer;2;5;0.10
Producer_Consumer;4;1;0.05
Producer_Consumer;4;2;0.05
Producer_Consumer;4;3;0.05
Producer_Consumer;4;4;0.05
Producer_Consumer;4;5;0.05
Producer_Consumer;8;1;0.03
Producer_Consumer;8;2;0.03
Producer_Consumer;8;3;0.03
Producer_Consumer;8;4;0.04
Producer_Consumer;8;5;0.03
Producer_Consumer;16;1;0.04
Producer_Consumer;16;2;0.03
Producer_Consumer;16;3;0.03
Producer_Consumer;16;4;0.03
Producer_Consumer;16;5;0.03
Producer_Consumer;32;1;0.03
Producer_Consumer;32;2;0.03
Producer_Consumer;32;3;0.03
Producer_Consumer;32;4;0.03
Producer_Consumer;32;5;0.03
Producer_Consumer_AC;1;1;0.81
Producer_Consumer_AC;1;2;0.80
Producer_Consumer_AC;1;3;0.60
Producer_Consumer_AC;1;4;0.28
Producer_Consumer_AC;1;5;1.15
Producer_Consumer_AC;2;1;0.83
Producer_Consumer_AC;2;2;0.13
Producer_Consumer_AC;2;3;0.46
Producer_Consumer_AC;2;4;0.22
Producer_Consumer_AC;2;5;0.19
Producer_Consumer_AC;4;1;0.27
Producer_Consumer_AC;4;2;0.21
Producer_Consumer_AC;4;3;0.24
Producer_Consumer_AC;4;4;0.24
Producer_Consumer_AC;4;5;0.32
Producer_Consumer_AC;8;1;0.34
Producer_Consumer_AC;8;2;0.36
Producer_Consumer_AC;8;3;0.43
Producer_Consumer_AC;8;4;0.52
Producer_Consumer_AC;8;5;0.53
Producer_Consumer_AC;16;1;2.60
Producer_Consumer_AC;16;2;1.65
Producer_Consumer_AC;16;3;2.08
Producer_Consumer_AC;16;4;2.62
Producer_Consumer_AC;16;5;0.47
Producer_Consumer_AC;32;1;17.05
Producer_Consumer_AC;32;2;28.57
Producer_Consumer_AC;32;3;15.56
Producer_Consumer_AC;32;4;19.50
Producer_Consumer_AC;32;5;18.30
WriterReader;1;1;0.07
WriterReader;1;2;0.07
WriterReader;1;3;0.08
WriterReader;1;4;0.07
WriterReader;1;5;0.08
WriterReader;2;1;0.05
WriterReader;2;2;0.05
WriterReader;2;3;0.05
WriterReader;2;4;0.05
WriterReader;2;5;0.04
WriterReader;4;1;0.03
WriterReader;4;2;0.03
WriterReader;4;3;0.04
WriterReader;4;4;0.03
WriterReader;4;5;0.03
WriterReader;8;1;0.03
WriterReader;8;2;0.02
WriterReader;8;3;0.03
WriterReader;8;4;0.02
WriterReader;8;5;0.03
WriterReader;16;1;0.03
WriterReader;16;2;0.03
WriterReader;16;3;0.03
WriterReader;16;4;0.04
WriterReader;16;5;0.03
WriterReader;32;1;0.03
WriterReader;32;2;0.03
WriterReader;32;3;0.03
WriterReader;32;4;0.03
WriterReader;32;5;0.03
WriterReader_AC;1;1;0.18
WriterReader_AC;1;2;0.40
WriterReader_AC;1;3;0.19
WriterReader_AC;1;4;0.33
WriterReader_AC;1;5;0.30
WriterReader_AC;2;1;0.26
